name;category;sale_mode;piece_grams;retail_price;sku
Prosciutto di Parma dissosato;meat;weight;;0;
Prosciutto Crudo Nazionale dissosato;meat;weight;;0;
Prosciutto Cotto "Specialcotto";meat;weight;;0;
Mortadella Favola Gran Reserva;meat;weight;;0;
Salame Felino I.G.P. "Gran Selezione";meat;weight;;0;
Guanciale con Pepe;meat;weight;;0;
Salame Mandola;meat;weight;;0;
Granbresaola Paganoni;meat;weight;;0;
Mortadella Bologna IGP con Pistacchio ORO ca 3Kg;meat;weight;;0;
Speck;meat;weight;;0;
Ventricina piccante;meat;weight;;0;
Cicciolata nostrana;meat;weight;;0;
Culatta con Cotenna;meat;weight;;0;
Salsiccia fresca S/V 200g;meat;piece;200;0;
Ajo pecorino al tartufo;cheese;weight;;0;
Pecorino stagionato classico;cheese;weight;;0;
Taleggio;cheese;weight;;0;
Provolone Val Padana DOP;cheese;weight;;0;
Raspadura di Lodi 150g;cheese;piece;150;0;
Pecorino Toscano DOP ca 2kg;cheese;weight;;0;
Parmigiano Reggiano;cheese;weight;;0;
Büffelmozzarella DOP 125g La Perla;cheese;piece;125;0;
Büffelburrata 125g La Perla;cheese;piece;125;0;
Burratina ohne Kopf 125g;cheese;piece;125;0;
Büffelmozzarella Gnocchi / Bufala-Ricotta 2kg;pasta;piece;2000;0;
Spinat-Pecorino Gnocchi 2kg;pasta;piece;2000;0;
Steinpilze Gnocchi / Porcini 2kg;pasta;piece;2000;0;
Trüffel Gnocchi / Tartufo 2kg;pasta;piece;2000;0;
Bärlauch Gnocchi gefüllt 2kg;pasta;piece;2000;0;
Tortelloni Trüffel/Tartufo 300g;pasta;piece;300;0;
Tortelloni Steinpilze/Porcini 300g;pasta;piece;300;0;
Ravioli Lachs/Salmone 300g;pasta;piece;300;0;
Cappelletti Prosciutto 300g;pasta;piece;300;0;
Ravioli Ricotta Spinat 300g;pasta;piece;300;0;
Ravioli Steinpilze/Porcini 300g;pasta;piece;300;0;
Ravioli Tom-Mozz-Bas 300g;pasta;piece;300;0;
